Name;Price;Damage;Weight;Properties;type
Club;1 sp;1d4 Bludgeon;2 lb.;Light;Simple Melee Weapons
Dagger;2 gp;1d4 Piercing;1 lb.;Finesse, Light, Thrown (20/60);Simple Melee Weapons
Greatclub;2 sp;1d8 Bludgeon;10 lb.;Two-handed;Simple Melee Weapons
Handaxe;5 gp;1d6 Slashing;2 lb.;Light, Thrown (20/60);Simple Melee Weapons
Javelin;5 sp;1d6 Piercing;2 lb.;Thrown (30/120);Simple Melee Weapons
Light hammer;2 gp;1d4 Bludgeon;2 lb.;Light, Thrown (20/60);Simple Melee Weapons
Mace;5 gp;1d6 Bludgeon;5 lb.;-;Simple Melee Weapons
Quarterstaff;2 sp;1d6 Bludgeon;5 lb.;Versatile (1d8);Simple Melee Weapons
Sickle;1 gp;1d4 Slashing;2 lb.;Light;Simple Melee Weapons
Spear;1 gp;1d6 Piercing;3 lb.;Thrown (20/60), Versatile (1d8);Simple Melee Weapons
Crossbow, light;25 gp;1d6 Piercing;5 lb.;Ammunition (80/320), Loading, Two-handed;Simple Ranged Weapons
Dart;5 cp;1d4 Piercing;.25 lb.;Finesse, Thrown (20/60);Simple Ranged Weapons
Shortbow;25 gp;1d6 Piercing;2 lb.;Ammunition (80/320), Two-handed;Simple Ranged Weapons
Sling;1 sp;1d4 Bludgeon;-;Ammunition (30/120);Simple Ranged Weapons
Battleaxe;10 gp;1d8 Slashing;4 lb.;Versatile (1d10);Martial Melee Weapons
Flail;10 gp;1d8 Bludgeon;2 lb.;-;Martial Melee Weapons
Glaive;20 gp;1d10 Slashing;6 lb.;Heavy, Reach, Two-handed;Martial Melee Weapons
Greataxe;30 gp;1d12 Slashing;7 lb.;Heavy, Two-handed;Martial Melee Weapons
Greatsword;50 gp;2d6 Slashing;6 lb.;Heavy, Two-handed;Martial Melee Weapons
Halberd;20 gp;1d10 Slashing;6 lb.;Heavy, Reach, Two-handed;Martial Melee Weapons
Lance;10 gp;1d12 Piercing;6 lb.;Reach, Special;Martial Melee Weapons
Longsword;15 gp;1d8 Slashing;3 lb.;Versatile (1d10);Martial Melee Weapons
Maul;10 gp;2d6 Bludgeon;10 lb.;Heavy, Two-handed;Martial Melee Weapons
Morningstar;15 gp;1d8 Piercing;4 lb.;-;Martial Melee Weapons
Pike;5 gp;1d10 Piercing;18 lb.;Heavy, Reach, Two-handed;Martial Melee Weapons
Rapier;25 gp;1d8 Piercing;2 lb.;Finesse;Martial Melee Weapons
Scimitar;25 gp;1d6 Slashing;3 lb.;Finesse, Light;Martial Melee Weapons
Shortsword;10 gp;1d6 Slashing;2 lb.;Finesse, Light;Martial Melee Weapons
Trident;5 gp;1d6 Piercing;5 lb.;Thrown (20/60), Versatile (1d8);Martial Melee Weapons
War pick;5 gp;1d8 Piercing;2 lb.;-;Martial Melee Weapons
Warhammer;15 gp;1d8 Bludgeon;2 lb.;Versatile (1d10);Martial Melee Weapons
Whip;2 gp;1d4 Slashing;3 lb.;Finesse, Reach;Martial Melee Weapons
Blowgun;10 gp;1 Piercing;1 lb.;Ammunition (25/100), Loading;Martial Ranged Weapons
Crossbow, hand;75 gp;1d6 Piercing;3 lb.;Ammunition (30/120), Loading, Light;Martial Ranged Weapons
Crossbow, heavy;50 gp;1d10 Piercing;18 lb.;Ammunition (100/400), Loading, Two-handed, Heavy;Martial Ranged Weapons
Longbow;50 gp;1d8 Piercing;2 lb.;Ammunition (150/600), Heavy, Two-handed;Martial Ranged Weapons
Net;1 gp;-;3 lb.;Special, Thrown (5/15);Martial Ranged Weapons
